Temps (ms);Trajectoire 1
67;-0,0573695152997971
100;-0,0874434933066368
133;-0,109776586294174
167;-0,11516048759222
200;-0,101793721318245
234;-0,0743175894021988
267;-0,0408042669296265
300;-0,00726543227210641
334;0,0237989686429501
367;0,0494480952620506
400;0,0671240612864494
434;0,078122466802597
467;0,0852514207363129
500;0,0897093713283539
534;0,0933406800031662
567;0,0998606011271477
601;0,109682358801365
634;0,118069343268871
667;0,121949300169945
701;0,123437777161598
734;0,126204952597618
767;0,13404369354248
801;0,150310888886452
834;0,17261329293251
868;0,191414758563042
901;0,198015674948692
934;0,192077502608299
968;0,180935904383659
1001;0,171142563223839
1034;0,161792904138565
1068;0,150211080908775
1101;0,138753190636635
1134;0,129092141985893
1168;0,117410287261009
1201;0,100912645459175
1235;0,0825871303677559
1268;0,0674475580453873
1301;0,0583170540630817
1335;0,0550391003489494
1368;0,0548233985900879
1401;0,0524153932929039
1435;0,0413411222398281
1468;0,018848480656743
1502;-0,00880180858075619
1535;-0,0301491729915142
1568;-0,0392093323171139
1602;-0,0391052775084972
1635;-0,0366298407316208
1668;-0,0371807068586349
1702;-0,0429941639304161
1735;-0,0520409308373928
1768;-0,0582029595971107
1802;-0,0550752729177475
1835;-0,0421934351325035
1869;-0,0275792814791203
1902;-0,0212044566869736
1935;-0,0247595235705376
1969;-0,0303295962512493
2002;-0,0302317924797535
2035;-0,0257866755127907
2069;-0,0233795661479235
2102;-0,0226518493145704
2135;-0,0130734257400036
2169;0,0151243815198541
2202;0,0572157725691795
2236;0,0952686667442322
2269;0,114560835063457
2302;0,113998576998711
2336;0,102834761142731
2369;0,0932485163211823
2402;0,0922323167324066
2436;0,0974169746041298
2469;0,103787116706371
2502;0,112238794565201
2536;0,126084819436073
2569;0,143369570374489
2603;0,160506293177605
2636;0,177856668829918
2669;0,193326279520988
2703;0,198094069957733
2736;0,186835110187531
2769;0,166068091988564
2803;0,146311700344086
2836;0,131056010723114
2870;0,117877632379532
2903;0,104937970638275
2936;0,0935827940702438
2970;0,0863712877035141
3003;0,0816977396607399
3036;0,0733302384614944
3070;0,0581047050654888
3103;0,0400236882269382
3136;0,0250410977751017
3170;0,0134244430810213
3203;-0,000578331819269806
3237;-0,0181524734944105
3270;-0,0294819716364145
3303;-0,0255327913910151
3337;-0,0119480220600963
3370;-0,00394203467294574
3403;-0,0108686182647943
3437;-0,0306694488972425
3470;-0,054784320294857
3504;-0,0734106227755547
3537;-0,0804303139448166
3570;-0,0773021951317787
3604;-0,0688940584659576
3637;-0,0562982559204102
3670;-0,0383279919624329
3704;-0,0169118512421846
3737;0,00321722170338035
3770;0,0173499546945095
3804;0,0224591474980116
3837;0,0202563498169184
3871;0,0182806439697742
3904;0,0236781090497971
3937;0,0365235507488251
3971;0,0517086684703827
4004;0,0661491006612778
4037;0,0810057520866394
4071;0,0959981754422188
4104;0,107072666287422
4137;0,112786762416363
4171;0,117525063455105
4204;0,126146003603935
4238;0,138757660984993
4271;0,15060518682003
4304;0,15624113380909
4338;0,155241668224335
4371;0,152177184820175
4404;0,149931743741035
4438;0,145719513297081
4471;0,135328754782677
4504;0,119904480874538
4538;0,106041938066483
4571;0,0999326109886169
4605;0,103081054985523
4638;0,111572049558163
4671;0,117298640310764
4705;0,11248441785574
4738;0,095731109380722
4771;0,0721097141504288
4805;0,0478385351598263
4838;0,0266934745013714
4872;0,00975482724606991
4905;-0,00333110173232853
4938;-0,0134306959807873
4972;-0,0218578167259693
5005;-0,0301447082310915
5038;-0,0393488928675652
5072;-0,0492738708853722
5105;-0,057997077703476
5138;-0,0627273395657539
5172;-0,0630024373531342
5205;-0,0615872032940388
5239;-0,0597052797675133
5272;-0,055972695350647
5305;-0,0526835694909096
5339;-0,0549241080880165
5372;-0,060706976801157
5405;-0,0606248043477535
5439;-0,048688393086195
5472;-0,0273164622485638
5506;-0,0028094865847379
5539;0,0184972397983074
5572;0,0304006021469831
5606;0,0272834189236164
5639;0,00835923943668604
5672;-0,0173213724046946
5706;-0,0348897092044353
5739;-0,0349785797297955
5772;-0,0179684795439243
5806;0,0112236561253667
5839;0,0473396964371204
5873;0,0845905244350433
5906;0,116384476423264
5939;0,138520509004593
5973;0,152539819478989
6006;0,16125051677227
6039;0,161637708544731
6073;0,150292575359344
6106;0,133383855223656
6139;0,121792212128639
6173;0,120972722768784
6206;0,130464509129524
6240;0,144729435443878
6273;0,152052581310272
6306;0,141713619232178
6340;0,114731207489967
6373;0,0829640403389931
6406;0,0589652806520462
6440;0,0475866608321667
6473;0,0447365343570709
6506;0,0440693348646164
6540;0,0434650927782059
6573;0,044029138982296
6607;0,0457565411925316
6640;0,0462393015623093
6673;0,0426701679825783
6707;0,0356631986796856
6740;0,0296976733952761
6773;0,0270449407398701
6807;0,0224584769457579
6840;0,00625938130542636
6874;-0,0264081042259932
6907;-0,0690264701843262
6940;-0,107286125421524
6974;-0,129464149475098
7007;-0,130969598889351
7040;-0,113130636513233
7074;-0,0847258344292641
7107;-0,0606091730296612
7140;-0,0515769273042679
7174;-0,0554832331836224
7207;-0,0609557256102562
7241;-0,0600344128906727
7274;-0,0536147132515907
7307;-0,0460629016160965
7341;-0,040257703512907
7374;-0,036843977868557
7407;-0,0349942110478878
7441;-0,0328264720737934
7474;-0,0270641427487135
7508;-0,0141738187521696
7541;0,00570605834946036
7574;0,0269239135086536
7608;0,0432368889451027
7641;0,0529059730470181
7674;0,0569868944585323
7708;0,0566970594227314
7741;0,0553840920329094
7774;0,0589911825954914
7808;0,0704024061560631
7841;0,0847704857587814
7875;0,0949638783931732
7908;0,0995963290333748
7941;0,099584273993969
7975;0,0920610427856445
8008;0,0757315456867218
8041;0,0573776587843895
8075;0,0454358905553818
8108;0,0404282957315445
8141;0,0364934056997299
8175;0,0297396518290043
8208;0,020903903990984
8242;0,0105515411123633
8275;-0,00210834317840636
8308;-0,0161383599042892
8342;-0,0300795063376427
8375;-0,0424486622214317
8408;-0,0489643849432468
8442;-0,0450330674648285
8475;-0,0299374908208847
8508;-0,00525143137201667
8542;0,0270038526505232
8575;0,0606310553848743
8609;0,082407146692276
8642;0,0750616639852524
8675;0,0163545086979866
