Temps (ms);Trajectoire 1
2502;0,00268276710994542
2536;-0,0169423315674067
2569;-0,0385319702327251
2603;-0,0559954680502415
2636;-0,0697055086493492
2669;-0,0836015492677689
2703;-0,0991310849785805
2736;-0,11347483843565
2769;-0,125155806541443
2803;-0,136464312672615
2836;-0,148545309901237
2870;-0,157646656036377
2903;-0,157812908291817
2936;-0,145853266119957
2970;-0,122431494295597
3003;-0,0915617570281029
3036;-0,0616764053702354
3070;-0,0416947081685066
3103;-0,0328402034938335
3136;-0,0297034792602062
3170;-0,0303666647523642
3203;-0,0397330708801746
3237;-0,060876902192831
3270;-0,0860787704586983
3303;-0,100252367556095
3337;-0,0948323458433151
3370;-0,0756426751613617
3403;-0,0544761754572392
3437;-0,0360302962362766
3470;-0,017906179651618
3504;-0,000113656715257093
3537;0,0140289012342691
3570;0,0255394894629717
3604;0,0389943011105061
3637;0,0533827058970928
3670;0,06149922311306
3704;0,0589016452431679
3737;0,0478213392198086
3770;0,0329807661473751
3804;0,0177722033113241
3837;0,00387393007986248
3871;-0,00803278293460608
3904;-0,0175815094262362
3937;-0,0240981262177229
3971;-0,0261303260922432
4004;-0,0221963301301003
4037;-0,0138596436008811
4071;-0,00693194288760424
4104;-0,00641166791319847
4137;-0,011418592184782
4171;-0,0174102429300547
4204;-0,022395508363843
4238;-0,0287730116397142
4271;-0,0377329140901566
4304;-0,0447182208299637
4338;-0,0443672053515911
4371;-0,0376900397241116
4404;-0,0299508888274431
4438;-0,0244772788137197
4471;-0,0229524038732052
4504;-0,0267343372106552
4538;-0,0348075367510319
4571;-0,0446713306009769
4605;-0,0530616082251072
4638;-0,0545134656131268
4671;-0,0463502779603004
4705;-0,0339168161153793
4738;-0,0244685690850019
4771;-0,0191664528101683
4805;-0,0146264359354973
4838;-0,00965367536991835
4872;-0,00760227208957076
4905;-0,0112129393965006
4938;-0,0174231939017773
4972;-0,0194230172783136
5005;-0,0138636641204357
5038;-0,00612473487854004
5072;-0,00615912210196257
5105;-0,018039932474494
5138;-0,0357670299708843
5172;-0,0481274761259556
5205;-0,0465043559670448
5239;-0,0308032017201185
5272;-0,00944824423640966
5305;0,00645878259092569
5339;0,0107846604660153
5372;0,00689554633572698
5405;0,00304081942886114
5439;0,00175598496571183
5472;-0,00309217721223831
5506;-0,0175944603979588
5539;-0,0389922931790352
5572;-0,0582310929894447
5606;-0,0697267204523087
5639;-0,0746693313121796
5672;-0,0761339217424393
5706;-0,0744719430804253
5739;-0,0672852247953415
5772;-0,0538368858397007
5806;-0,0394634418189526
5839;-0,0318913161754608
5873;-0,0324048921465874
5906;-0,0361651629209518
5939;-0,0407909266650677
5973;-0,0473693944513798
6006;-0,0548390299081802
6039;-0,0607411414384842
6073;-0,0651523172855377
6106;-0,0693154111504555
6139;-0,0732302069664001
6173;-0,0775902420282364
6206;-0,0846744701266289
6240;-0,0937627702951431
6273;-0,0997157990932465
6306;-0,0990392118692398
6340;-0,0928546339273453
6373;-0,08261838555336
6406;-0,0672084093093872
6440;-0,0466586500406265
6473;-0,0271967761218548
6506;-0,0178599581122398
6540;-0,02064398676157
6573;-0,0278820712119341
6607;-0,0308116897940636
6640;-0,0278479047119617
6673;-0,0223399084061384
6707;-0,0162667538970709
6740;-0,010441679507494
6773;-0,00590188661590219
6807;-0,00207306281663477
6840;0,00195315387099981
6874;0,00611624959856272
6907;0,0113413324579597
6940;0,0181937832385302
6974;0,0255091208964586
7007;0,0323108844459057
7040;0,0363196842372417
7074;0,0335785262286663
7107;0,024926770478487
7140;0,0181080382317305
7174;0,0193933192640543
7207;0,0255095679312944
7241;0,0267941802740097
7274;0,0177143700420856
7307;0,00123347679618746
7341;-0,0150931207463145
7374;-0,0238987263292074
7407;-0,0225455611944199
7441;-0,0169091708958149
7474;-0,0171489901840687
7508;-0,0269656702876091
7541;-0,0404827781021595
